storage,scenario,obj_value,2030_renewables,ntc_fac
0.0,Base,51186711629.925385,True,1.0
0.0,Mixed_FR_PL_exept,76321785389.0159,True,1.0
0.5,Base,50846017453.67897,True,1.0
0.5,Mixed_FR_PL_exept,75812164458.14809,True,1.0
1.0,Base,50524022823.32685,True,1.0
1.0,Mixed_FR_PL_exept,75335675027.98274,True,1.0
3.0,Base,49452532242.4519,True,1.0
3.0,Mixed_FR_PL_exept,73696315251.4333,True,1.0
0.0,Base,53464450836.12048,True,0.8
0.0,Mixed_FR_PL_exept,77535929392.6978,True,0.8
0.5,Base,53134606540.457085,True,0.8
0.5,Mixed_FR_PL_exept,77000912328.79135,True,0.8
1.0,Base,52821874387.84181,True,0.8
1.0,Mixed_FR_PL_exept,76511235809.48517,True,0.8
3.0,Base,51809929842.13508,True,0.8
3.0,Mixed_FR_PL_exept,74896104318.74425,True,0.8
0.0,Base,49179680380.07352,True,1.2
0.0,Mixed_FR_PL_exept,75410477127.46559,True,1.2
0.5,Base,48829944507.028366,True,1.2
0.5,Mixed_FR_PL_exept,74924989348.24681,True,1.2
1.0,Base,48502331873.81487,True,1.2
1.0,Mixed_FR_PL_exept,74461489345.99065,True,1.2
3.0,Base,47436584850.317635,True,1.2
3.0,Mixed_FR_PL_exept,72803488177.2808,True,1.2
