zone,mc_el_maximum_mean,mc_el_maximum_std
FR,744.1826552791483,398.9161183773047
AT,65.15956204842975,20.889860681721434
BE,224.43961530957571,293.6126344882482
CZ,16.370822772037332,51.7431085113158
DE,66.0748734692179,17.3301814005198
DK,65.79812228042528,19.28724820687072
ES,83.15053011878956,18.764104632428356
IT,82.15846876052251,18.237821249704666
PL,66.39038718384873,6.553215582777629
SE,97.98168679033583,64.33978164999468
UK,107.92905423906156,4.9079876696029405
CH,23.949197692938885,0.746001150927289
NO,8.10026747120587,1.3482237556714476
NL,77.39347154913618,12.488152617805653
